# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-12T22:37:02Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 eab7879e14401408aa6c70f4047db865441ca64fa933e1e751b571bfa7cac220
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 9ecb8ae2215e5755640d0ff4a5dd19bf23d7518a8401d0d7a77c6ad74939cdd4
# rules       = B0-B5, D31 (within-tier), D47 (summed rows), D48 (shared rows)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# tier 1: 242 entries, ordered by type-I weight; rank_<type> and cumulative_share_<type> follow that fiber type's own order
rank_I	accession	gene	tier	match_rule	w_I	rank_I	cumulative_share_I_in_I_order	w_I_low	w_I_high	valid_I	w_IIa	rank_IIa	cumulative_share_IIa_in_IIa_order	w_IIa_low	w_IIa_high	valid_IIa	w_IIx	rank_IIx	cumulative_share_IIx_in_IIx_order	w_IIx_low	w_IIx_high	valid_IIx
1	Q8WZ42	TTN	1	summed:5	0.2807414955	1	0.2807414955	0.1634130355	0.3980699554	19	0.2778242277	1	0.2778242277	0.1735460374	0.3821024179	29	0.2779239667	1	0.2779239667	0.132087369	0.4237605645	13
2	P12883	MYH7	1	single	0.17872077	2	0.4594622654	0.1405793954	0.2168621446	19	0.08585068106	3	0.5007391718	0.06339187417	0.1083094879	29	0.08558049163	2	0.3635044584	0.05623074151	0.1149302417	13
3	P68133	ACTA1	1	single	0.07931856955	3	0.538780835	0.07931856955	0.07931856955	19	0.06985718037	4	0.5705963522	0.06985718037	0.06985718037	29	0.0695419095	3	0.4330463679	0.0695419095	0.0695419095	13
4	P20929	NEB	1	summed:4	0.0525978665	4	0.5913787015	0.03219326019	0.07300247281	19	0.04768226829	5	0.6182786205	0.03074655627	0.06461798031	29	0.04763784479	5	0.5497039906	0.02336582907	0.0719098605	13
5	P06753	TPM3	1	summed:4	0.03670997589	5	0.6280886774	0.0100545078	0.06336544397	19	0.01378809108	17	0.835617635	0	0.05625318857	29	0.01339205895	22	0.886585703	0.0007493489049	0.026034769	13
6	P35609	ACTN2	1	single	0.03058666968	6	0.6586753471	0.01974902782	0.04142431154	19	0.02105788646	8	0.6848722328	0.01276675148	0.02934902145	29	0.01490649464	17	0.8165034907	0.008310664278	0.02150232501	13
7	P13805	TNNT1	1	single	0.02935932998	7	0.688034677	0.02091799846	0.0378006615	19	0.01090716298	21	0.8824689461	0.001833421213	0.01998090475	29	0.01006382785	24	0.9080055477	0.001636390884	0.01849126481	13
8	Q00872	MYBPC1	1	summed:4	0.02788499087	8	0.7159196679	0.02234684307	0.03342313868	19	0.02043661614	9	0.705308849	0.01434120891	0.02653202338	29	0.01576298337	13	0.7557150094	0.01182520707	0.01970075968	13
9	P08590	MYL3	1	single	0.02571637515	9	0.7416360431	0.004626607469	0.04680614283	19	0.001945615888	38	0.9712419664	0	0.005650474815	29	0.002293295251	38	0.9677948896	0.0006578308439	0.003928759657	13
10	P10916	MYL2	1	single	0.02358459746	10	0.7652206405	0.01681335689	0.03035583802	19	3.755961792e-05	115	0.9992995801	0	0.001141972776	23	0.0001908056761	82	0.9961861403	0	0.0006818195019	11
