accession	gene_primary	protein_name	length	reviewed	organism_id	subtree_terms_returning_entry	in_term_level_query
A0A075B6S2	IGKV2D-29	Immunoglobulin kappa variable 2D-29	120	reviewed	9606		
A0A096LP55	UQCRHL	Cytochrome b-c1 complex subunit 6-like, mitochondrial	91	reviewed	9606		
A0A0A0MRZ7	IGKV2D-26	Immunoglobulin kappa variable 2D-26	120	reviewed	9606		
A0A0B4J1X5	IGHV3-74	Immunoglobulin heavy variable 3-74	117	reviewed	9606		
A0A0C4DH42	IGHV3-66	Immunoglobulin heavy variable 3-66	116	reviewed	9606		
A0A8I5KQE6	RPSA2	Small ribosomal subunit protein uS2B (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (40S ribosomal protein SA2) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)	295	reviewed	9606		
A0AVT1	UBA6	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	1052	reviewed	9606		
A0FGR8	ESYT2	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	921	reviewed	9606		
A0PJW6	TMEM223	Transmembrane protein 223	202	reviewed	9606		
A1L0T0	HACL2	2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)	632	reviewed	9606		
A1L4K1	FSD2	Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1)	749	reviewed	9606		
A2A2Y4	FRMD3	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)	597	reviewed	9606		
A2RRP1	NBAS	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	2371	reviewed	9606		
A2RTX5	TARS3	Threonine--tRNA ligase 2, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)	802	reviewed	9606		
A3KMH1	VWA8	von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2)	1905	reviewed	9606		
A4D126	CRPPA	D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD)	451	reviewed	9606		
A5D6W6	FITM1	Fat storage-inducing transmembrane protein 1 (Fat-inducing protein 1)	292	reviewed	9606		
A5D8V6	VPS37C	Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C)	355	reviewed	9606		
A5YM72	CARNS1	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)	827	reviewed	9606		
A6NCE7	MAP1LC3B2	Microtubule-associated protein 1 light chain 3 beta 2 (Microtubule-associated proteins 1A/1B light chain 3 beta 2) (Microtubule-associated proteins 1A/1B light chain 3B-like) (MAP1A/MAP1B LC3 B-like) (MAP1A/MAP1B light chain 3 B-like)	125	reviewed	9606		
A6NDG6	PGP	Phosphoglycolate phosphatase (EC 3.1.3.18) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Glycerol-3-phosphate phosphatase) (G3PP) (EC 3.1.3.21)	321	reviewed	9606		
A6NHG4	DDTL	Putative D-dopachrome decarboxylase-like protein (EC 4.1.1.-) (D-dopachrome tautomerase-like protein)	134	reviewed	9606		
A6NHR9	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	2005	reviewed	9606		
A6NHZ5	LRRC14B	Leucine-rich repeat-containing protein 14B	514	reviewed	9606		
A6NMY6	ANXA2P2	Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene)	339	reviewed	9606		
A6NMZ7	COL6A6	Collagen alpha-6(VI) chain	2263	reviewed	9606		
A6NNL5	C15orf61	Uncharacterized protein C15orf61	157	reviewed	9606		
A6NNS2	DHRS7C	Dehydrogenase/reductase SDR family member 7C (EC 1.1.1.105) (Sarcoplasmic reticulum protein of 35 kDa) (Protein SRP-35) (Short-chain dehydrogenase/reductase family 32C member 2) (Protein SDR32C2)	312	reviewed	9606		
A6NNT2	C16orf96	Uncharacterized protein C16orf96	1141	reviewed	9606		
A8K2U0	A2ML1	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)	1454	reviewed	9606		
A8MWD9	SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	76	reviewed	9606		
A8MXV4	NUDT19	Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19)	375	reviewed	9606		
A8MZF0	PRR33	Proline-rich protein 33	331	reviewed	9606		
B0YJ81	HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A)	288	reviewed	9606		
B1AJZ9	FHAD1	Forkhead-associated domain-containing protein 1 (FHA domain-containing protein 1)	1412	reviewed	9606		
B2RPK0	HMGB1P1	High mobility group protein B1-like 1 (High mobility group protein 1-like 1) (HMG-1L1)	211	reviewed	9606		
B5ME19	EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	914	reviewed	9606		
B9A064	IGLL5	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)	214	reviewed	9606		
C9J798	RASA4B	Ras GTPase-activating protein 4B	803	reviewed	9606		
E7EW31	PROB1	Proline-rich basic protein 1	1015	reviewed	9606		
