# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T21:22:20Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
accession	gene	w	w_low	w_high	cumulative_w	match_rule
Q9Y570	PPME1	4.435785287e-05	3.614173671e-05	5.257396903e-05	0.9894284348	single
Q9ULP9	TBC1D24	4.404090225e-05	3.435388072e-05	5.372792378e-05	0.9894724757	single
P23381	WARS1	4.393879961e-05	3.784258323e-05	5.003501599e-05	0.9895164145	summed:2
Q14240	EIF4A2	4.385023088e-05	1.760250716e-05	7.00979546e-05	0.9895602647	single
P61081	UBE2M	4.36671682e-05	2.672809947e-05	6.060623692e-05	0.9896039319	single
Q9NSD9	FARSB	4.366464185e-05	2.608095051e-05	6.124833319e-05	0.9896475965	single
P10644	PRKAR1A	4.343813939e-05	3.412254006e-05	5.275373872e-05	0.9896910347	summed:3
P51148	RAB5C	4.340334785e-05	4.064523145e-05	4.616146425e-05	0.989734438	summed:2
Q9H008	LHPP	4.326387118e-05	3.3798029e-05	5.272971336e-05	0.9897777019	single
Q9UBC2	EPS15L1	4.308344933e-05	2.041711403e-05	6.574978463e-05	0.9898207853	single
P01024	C3	4.302323909e-05	2.056092989e-05	6.54855483e-05	0.9898638086	single
O43765	SGTA	4.280768327e-05	3.654942883e-05	4.906593772e-05	0.9899066163	single
P35613	BSG	4.277515976e-05	1.649574522e-05	6.905457429e-05	0.9899493914	summed:3
P09651	HNRNPA1	4.27226474e-05	2.680615605e-05	5.863913876e-05	0.9899921141	single
Q9BY43	CHMP4A	4.26247687e-05	0	8.951908128e-05	0.9900347388	single
P09104	ENO2	4.216890536e-05	2.823560354e-05	5.610220718e-05	0.9900769077	single
P02794	FTH1	4.211511253e-05	0	8.529608991e-05	0.9901190229	single
Q8WVM8	SCFD1	4.162963548e-05	2.723144582e-05	5.602782514e-05	0.9901606525	single
P61956	SUMO2	4.147479047e-05	2.423194947e-05	5.871763147e-05	0.9902021273	single
Q15819	UBE2V2	4.059612113e-05	2.513109529e-05	5.606114698e-05	0.9902427234	single
Q9BQA1	WDR77	4.057560787e-05	2.27639609e-05	5.838725484e-05	0.990283299	single
Q6GMV3	PTRHD1	4.024152579e-05	3.660987365e-05	4.387317793e-05	0.9903235405	single
O75915	ARL6IP5	4.020150234e-05	7.701407655e-06	7.270159702e-05	0.990363742	single
O14964	HGS	4.009098976e-05	2.967709498e-05	5.050488454e-05	0.990403833	single
P15311	EZR	3.987632181e-05	3.1931657e-05	4.782098662e-05	0.9904437093	single
P54105	CLNS1A	3.985113634e-05	2.972566547e-05	4.997660722e-05	0.9904835605	single
P04424	ASL	3.954718657e-05	2.104113769e-05	5.805323544e-05	0.9905231077	single
P16989	YBX3	3.906711446e-05	2.153091395e-05	5.660331496e-05	0.9905621748	single
Q13619	CUL4A	3.849191033e-05	2.879791059e-05	4.818591006e-05	0.9906006667	single
Q13526	PIN1	3.816384958e-05	2.654060371e-05	4.978709545e-05	0.9906388305	single
P62873	GNB1	3.807826005e-05	2.386814048e-05	5.228837961e-05	0.9906769088	single
P57737	CORO7	3.798937344e-05	2.754176987e-05	4.843697701e-05	0.9907148982	single
Q00577	PURA	3.797093299e-05	2.803016411e-05	4.791170188e-05	0.9907528691	single
P61077	UBE2D3	3.774943104e-05	2.382817954e-05	5.167068255e-05	0.9907906185	single
P51149	RAB7A	3.709046087e-05	2.696673659e-05	4.721418516e-05	0.990827709	single
Q9NYU2	UGGT1	3.674740052e-05	3.002855362e-05	4.346624743e-05	0.9908644564	single
Q8WVJ2	NUDCD2	3.649950726e-05	2.596263667e-05	4.703637785e-05	0.9909009559	single
Q93009	USP7	3.646340743e-05	3.919454313e-06	6.900736055e-05	0.9909374193	single
P04114	APOB	3.617154293e-05	1.054627903e-05	6.179680682e-05	0.9909735909	single
Q8WZA9	IRGQ	3.598920832e-05	2.870095591e-05	4.327746072e-05	0.9910095801	single
P16070	CD44	3.582966812e-05	1.616167121e-05	5.549766502e-05	0.9910454097	summed:2
Q8IY17	PNPLA6	3.574700787e-05	2.255914057e-05	4.893487517e-05	0.9910811567	single
Q8IZY2	ABCA7	3.56826727e-05	7.387001194e-06	6.397834421e-05	0.9911168394	single
Q53GL7	PARP10	3.555642388e-05	1.703534863e-05	5.407749913e-05	0.9911523958	single
Q16543	CDC37	3.541958892e-05	2.601123445e-05	4.48279434e-05	0.9911878154	single
O75874	IDH1	3.538310339e-05	2.296943503e-05	4.779677176e-05	0.9912231985	single
Q8TBC4	UBA3	3.495358528e-05	2.166388088e-05	4.824328969e-05	0.9912581521	single
O15084	ANKRD28	3.483753418e-05	0	8.667150551e-05	0.9912929897	single
P25685	DNAJB1	3.472095518e-05	2.508956616e-05	4.43523442e-05	0.9913277106	single
Q14166	TTLL12	3.467689048e-05	2.29783787e-05	4.637540226e-05	0.9913623875	single
O00442	RTCA	3.456448301e-05	2.118960496e-05	4.793936106e-05	0.991396952	single
P07951	TPM2	3.444956817e-05	2.039374688e-05	4.850538946e-05	0.9914314015	single
Q9BV20	MRI1	3.434208303e-05	2.373959559e-05	4.494457047e-05	0.9914657436	single
Q5QJ74	TBCEL	3.41787058e-05	2.82303489e-05	4.01270627e-05	0.9914999223	single
Q9H4M9	EHD1	3.401686882e-05	2.350898409e-05	4.452475355e-05	0.9915339392	single
P26599	PTBP1	3.390245135e-05	2.203263492e-05	4.577226777e-05	0.9915678417	single
Q07960	ARHGAP1	3.382798799e-05	2.051666708e-05	4.71393089e-05	0.9916016696	single
Q9NWV4	CZIB	3.369285049e-05	2.380765269e-05	4.357804829e-05	0.9916353625	single
P61978	HNRNPK	3.349253733e-05	1.917084324e-05	4.781423143e-05	0.991668855	single
Q9Y3B8	REXO2	3.331713876e-05	1.450675644e-05	5.212752108e-05	0.9917021722	single
Q5H9T9	FSCB	3.325221517e-05	0	7.277937097e-05	0.9917354244	single
O14523	C2CD2L	3.291024796e-05	0	8.36253814e-05	0.9917683346	single
O94919	ENDOD1	3.257377477e-05	2.576244955e-05	3.938509998e-05	0.9918009084	single
O95273	CCNDBP1	3.229260854e-05	1.477116906e-05	4.981404802e-05	0.991833201	single
P13667	PDIA4	3.227529916e-05	0	7.048472535e-05	0.9918654763	single
P55209	NAP1L1	3.222421489e-05	1.437017528e-05	5.007825451e-05	0.9918977005	summed:3
Q9ULH1	ASAP1	3.207637345e-05	9.003996056e-06	5.514875084e-05	0.9919297769	single
P46379	BAG6	3.191518299e-05	1.285809792e-05	5.097226806e-05	0.9919616921	single
Q93034	CUL5	3.179747188e-05	2.409598988e-05	3.949895388e-05	0.9919934896	single
Q9NWX6	THG1L	3.176978096e-05	2.17633568e-05	4.177620513e-05	0.9920252593	single
Q15042	RAB3GAP1	3.155114311e-05	0	7.482696086e-05	0.9920568105	single
Q9NPQ8	RIC8A	3.14857834e-05	2.390216702e-05	3.906939978e-05	0.9920882963	single
P24941	CDK2	3.067223659e-05	1.699549555e-05	4.434897763e-05	0.9921189685	single
Q92835	INPP5D	3.05297761e-05	1.265930807e-05	4.840024412e-05	0.9921494983	single
P51858	HDGF	3.046027225e-05	2.262135954e-05	3.829918497e-05	0.9921799586	single
Q8N9N7	LRRC57	3.028475234e-05	0	6.37511007e-05	0.9922102433	single
P46781	RPS9	3.025289239e-05	0	7.913424271e-05	0.9922404962	single
P49770	EIF2B2	2.977551022e-05	0	6.455567563e-05	0.9922702717	single
Q14258	TRIM25	2.963565049e-05	0	7.896870481e-05	0.9922999074	single
O75223	GGCT	2.95140325e-05	2.302405651e-05	3.60040085e-05	0.9923294214	single
Q15691	MAPRE1	2.950099621e-05	2.263553622e-05	3.63664562e-05	0.9923589224	single
P27824	CANX	2.933483713e-05	2.095424323e-05	3.771543102e-05	0.9923882572	single
Q5T447	HECTD3	2.916522119e-05	1.305811774e-05	4.527232465e-05	0.9924174224	single
O75116	ROCK2	2.910673129e-05	1.625658898e-05	4.19568736e-05	0.9924465292	single
Q9UKJ5	CHIC2	2.909513881e-05	7.54092573e-06	5.064935188e-05	0.9924756243	single
Q9Y4G6	TLN2	2.866539283e-05	2.065170441e-06	5.526561523e-05	0.9925042897	single
Q58WW2	DCAF6	2.855144709e-05	1.755830703e-05	3.954458714e-05	0.9925328412	summed:2
P51665	PSMD7	2.853014892e-05	1.441468737e-05	4.264561046e-05	0.9925613713	single
Q5VST6	ABHD17B	2.844284648e-05	4.924598617e-06	5.196109434e-05	0.9925898142	single
P50402	EMD	2.824748955e-05	0	6.449081726e-05	0.9926180616	single
A6NDG6	PGP	2.807535345e-05	1.637318099e-05	3.977752591e-05	0.992646137	single
P61586	RHOA	2.800683383e-05	2.348941317e-05	3.252425448e-05	0.9926741438	single
O60888	CUTA	2.790185976e-05	1.921807734e-05	3.658564218e-05	0.9927020457	single
Q9H9Q2	COPS7B	2.790127509e-05	1.535028334e-05	4.045226683e-05	0.992729947	single
Q08AM6	VAC14	2.787637846e-05	0	5.680543188e-05	0.9927578233	single
P39687	ANP32A	2.783711108e-05	2.337037868e-05	3.230384349e-05	0.9927856605	single
Q9UKU0	ACSL6	2.766829323e-05	0	5.598940123e-05	0.9928133287	summed:2
Q96FV2	SCRN2	2.724496194e-05	2.365511227e-05	3.083481161e-05	0.9928405737	single
Q96RL7	VPS13A	2.718920821e-05	1.567079852e-05	3.870761789e-05	0.9928677629	single
Q4AC94	C2CD3	2.715080823e-05	1.419669743e-05	4.010491903e-05	0.9928949137	single
P42345	MTOR	2.662369449e-05	1.628290165e-05	3.696448732e-05	0.9929215374	single
Q8NB49	ATP11C	2.658826358e-05	1.29174415e-05	4.025908566e-05	0.9929481257	single
Q9HBL0	TNS1	2.650506429e-05	2.132040498e-05	3.168972359e-05	0.9929746307	single
P35606	COPB2	2.639463713e-05	1.819671696e-05	3.459255731e-05	0.9930010254	single
P55010	EIF5	2.63753976e-05	2.065366877e-05	3.209712643e-05	0.9930274008	single
Q7KZF4	SND1	2.63744449e-05	4.353356537e-06	4.839553327e-05	0.9930537752	single
Q9UBW8	COPS7A	2.628718399e-05	1.928465684e-05	3.328971113e-05	0.9930800624	single
P07311	ACYP1	2.624014499e-05	1.571733998e-05	3.676295e-05	0.9931063026	single
O43760	SYNGR2	2.618783724e-05	8.357815502e-06	4.401785898e-05	0.9931324904	single
Q01469	FABP5	2.581524538e-05	1.650449967e-05	3.512599109e-05	0.9931583056	single
Q96KP4	CNDP2	2.578346011e-05	1.282402503e-05	3.874289519e-05	0.9931840891	single
Q9Y5P6	GMPPB	2.575404069e-05	1.756615664e-05	3.394192474e-05	0.9932098431	single
Q9UNN5	FAF1	2.559343478e-05	1.360783508e-05	3.757903448e-05	0.9932354366	single
O00154	ACOT7	2.559098278e-05	4.551541089e-06	4.663042447e-05	0.9932610276	single
Q9H0R4	HDHD2	2.556665656e-05	1.700373353e-05	3.412957959e-05	0.9932865942	single
Q68D91	MBLAC2	2.544561889e-05	0	6.121472005e-05	0.9933120398	single
Q96AT9	RPE	2.520732196e-05	2.007131201e-05	3.034333191e-05	0.9933372472	single
Q9H254	SPTBN4	2.520713015e-05	1.472184697e-05	3.569241334e-05	0.9933624543	single
Q9Y3L5	RAP2C	2.519311448e-05	2.991089554e-06	4.73951394e-05	0.9933876474	single
P46060	RANGAP1	2.515891291e-05	1.935298166e-05	3.096484416e-05	0.9934128063	single
P36915	GNL1	2.504230619e-05	1.947486681e-05	3.060974557e-05	0.9934378486	single
P35813	PPM1A	2.493020887e-05	9.19285138e-06	4.066756636e-05	0.9934627788	single
Q08211	DHX9	2.490167691e-05	1.314451499e-05	3.665883883e-05	0.9934876805	single
Q9H8W5	TRIM45	2.486966677e-05	7.600990242e-06	4.21383433e-05	0.9935125502	single
Q15833	STXBP2	2.484738082e-05	1.219640877e-05	3.749835288e-05	0.9935373976	single
Q9Y3C8	UFC1	2.48200503e-05	1.829198411e-05	3.134811648e-05	0.9935622176	single
Q8TDB8	SLC2A14	2.463947607e-05	7.087279347e-06	4.21916728e-05	0.9935868571	single
O76054	SEC14L2	2.453518249e-05	1.467705682e-05	3.439330816e-05	0.9936113923	single
Q99598	TSNAX	2.416051331e-05	1.818723103e-05	3.01337956e-05	0.9936355528	single
P08754	GNAI3	2.413200741e-05	1.836226807e-05	2.990174674e-05	0.9936596848	single
Q15286	RAB35	2.393861233e-05	1.735864358e-05	3.051858108e-05	0.9936836234	single
P05026	ATP1B1	2.381236769e-05	0	7.084296739e-05	0.9937074358	single
P08758	ANXA5	2.381021892e-05	0	4.91976592e-05	0.993731246	single
O95487	SEC24B	2.369690727e-05	5.394781206e-06	4.199903333e-05	0.9937549429	single
O60749	SNX2	2.357138194e-05	1.02667503e-05	3.687601358e-05	0.9937785143	single
O00161	SNAP23	2.339613998e-05	6.125340552e-06	4.06669394e-05	0.9938019104	summed:2
O43617	TRAPPC3	2.331211186e-05	0	6.993633558e-05	0.9938252225	single
Q8NE71	ABCF1	2.323331559e-05	0	5.384205803e-05	0.9938484558	summed:2
A4D1P6	WDR91	2.320066775e-05	4.789887635e-06	4.161144786e-05	0.9938716565	single
P43405	SYK	2.306806947e-05	0	6.14349704e-05	0.9938947246	single
P17066	HSPA6	2.302006662e-05	1.886422419e-05	2.717590905e-05	0.9939177446	single
Q9NT62	ATG3	2.280518797e-05	1.683764517e-05	2.877273077e-05	0.9939405498	single
O43583	DENR	2.276432253e-05	1.454178632e-05	3.098685873e-05	0.9939633141	single
P21333	FLNA	2.274325524e-05	7.904441638e-06	3.758206883e-05	0.9939860574	single
O75165	DNAJC13	2.26538689e-05	7.877081348e-06	3.743065645e-05	0.9940087113	single
Q9H2M9	RAB3GAP2	2.251360537e-05	0	4.930873279e-05	0.9940312249	single
Q9UJU6	DBNL	2.250138386e-05	1.010705352e-05	3.48957142e-05	0.9940537263	summed:2
Q9NP79	VTA1	2.247603879e-05	1.604385558e-05	2.8908222e-05	0.9940762023	single
Q8N766	EMC1	2.243693382e-05	0	4.718173968e-05	0.9940986392	single
P61106	RAB14	2.231107456e-05	1.701126765e-05	2.761088147e-05	0.9941209503	single
Q15843	NEDD8	2.221751952e-05	2.076326512e-05	2.367177392e-05	0.9941431678	single
Q9GZN8	ADISSP	2.212194049e-05	1.415194503e-05	3.009193596e-05	0.9941652898	single
P06730	EIF4E	2.190118311e-05	1.599366441e-05	2.780870181e-05	0.994187191	single
Q96NW7	LRRC7	2.186155886e-05	0	4.616927879e-05	0.9942090525	single
P05388	RPLP0	2.182208964e-05	5.813331547e-06	3.783084774e-05	0.9942308746	single
Q58FF6	HSP90AB4P	2.177650161e-05	1.864758208e-05	2.490542113e-05	0.9942526511	single
P06702	S100A9	2.175836294e-05	0	6.011939305e-05	0.9942744095	single
A2RRP1	NBAS	2.175006348e-05	1.742171157e-05	2.607841539e-05	0.9942961595	single
Q6R327	RICTOR	2.131387278e-05	0	5.763658779e-05	0.9943174734	single
Q92539	LPIN2	2.127660342e-05	1.47891307e-05	2.776407614e-05	0.99433875	single
P52888	THOP1	2.126484656e-05	1.442447139e-05	2.810522172e-05	0.9943600149	single
P26885	FKBP2	2.12252079e-05	1.172583228e-05	3.072458352e-05	0.9943812401	single
Q2TAA2	IAH1	2.120625131e-05	1.449029841e-05	2.792220421e-05	0.9944024463	single
Q9H400	LIME1	2.114954363e-05	1.636689559e-05	2.593219167e-05	0.9944235959	summed:3
P04899	GNAI2	2.108378543e-05	8.869459279e-06	3.329811158e-05	0.9944446796	single
Q562R1	ACTBL2	2.107539944e-05	0	5.430045896e-05	0.994465755	single
P05387	RPLP2	2.101421188e-05	8.464236533e-06	3.356418723e-05	0.9944867693	single
Q92542	NCSTN	2.099410194e-05	1.273799813e-05	2.925020576e-05	0.9945077634	single
Q6P1N0	CC2D1A	2.091204432e-05	1.087630374e-05	3.094778491e-05	0.9945286754	single
Q9NRW7	VPS45	2.068819584e-05	8.445042187e-06	3.293134949e-05	0.9945493636	single
O15162	PLSCR1	2.06833704e-05	1.505948468e-05	2.630725612e-05	0.994570047	single
Q13232	NME3	2.053138493e-05	0	6.071722284e-05	0.9945905783	single
Q13564	NAE1	2.046052235e-05	1.769487427e-05	2.322617044e-05	0.9946110389	single
O75387	SLC43A1	2.04246979e-05	1.13337414e-05	2.951565441e-05	0.9946314636	single
P22303	ACHE	2.037879094e-05	1.125239922e-05	2.950518267e-05	0.9946518424	single
P30154	PPP2R1B	2.035607083e-05	1.421525991e-05	2.649688175e-05	0.9946721984	single
P61221	ABCE1	2.019348814e-05	1.458391006e-05	2.580306622e-05	0.9946923919	summed:2
Q13283	G3BP1	2.012939209e-05	5.93405367e-06	3.43247305e-05	0.9947125213	single
P35580	MYH10	2.008976783e-05	1.408497505e-05	2.609456062e-05	0.9947326111	single
P10746	UROS	2.005877628e-05	1.400632854e-05	2.611122402e-05	0.9947526699	single
Q93100	PHKB	2.003803115e-05	0	5.04399733e-05	0.9947727079	single
P24539	ATP5PB	1.992669119e-05	0	5.978007356e-05	0.9947926346	single
O75822	EIF3J	1.989885804e-05	5.870875721e-06	3.392684037e-05	0.9948125334	single
P41440	SLC19A1	1.988567489e-05	1.257779869e-05	2.719355109e-05	0.9948324191	single
P05386	RPLP1	1.98710023e-05	8.141464044e-06	3.160054056e-05	0.9948522901	single
O75663	TIPRL	1.976797437e-05	3.086700813e-06	3.644924793e-05	0.9948720581	single
Q04446	GBE1	1.971458496e-05	1.414776041e-05	2.528140951e-05	0.9948917727	single
P17812	CTPS1	1.94772845e-05	1.354956875e-05	2.540500024e-05	0.99491125	single
O60506	SYNCRIP	1.939253586e-05	6.327204336e-07	3.815235129e-05	0.9949306425	single
P21266	GSTM3	1.938565506e-05	5.422649001e-06	3.334866112e-05	0.9949500281	single
Q07866	KLC1	1.936519529e-05	7.432597763e-06	3.129779281e-05	0.9949693933	single
O00629	KPNA4	1.929083372e-05	1.450878282e-05	2.407288461e-05	0.9949886842	single
P61019	RAB2A	1.925607139e-05	0	5.6426433e-05	0.9950079402	single
Q8TCD5	NT5C	1.917163614e-05	1.170901356e-05	2.663425871e-05	0.9950271119	single
P0C0S8	H2AC11	1.916652259e-05	1.431573012e-06	3.690147217e-05	0.9950462784	single
P63092	GNAS	1.914383717e-05	6.961471575e-06	3.132620276e-05	0.9950654222	single
P05198	EIF2S1	1.909024089e-05	1.114044082e-05	2.704004095e-05	0.9950845125	single
Q12846	STX4	1.904268819e-05	6.506247238e-06	3.157912914e-05	0.9951035552	single
Q15185	PTGES3	1.903895012e-05	1.444309804e-05	2.363480219e-05	0.9951225941	single
Q86YZ3	HRNR	1.888224577e-05	0	4.113682256e-05	0.9951414764	single
P48147	PREP	1.887278058e-05	8.915975883e-06	2.882958529e-05	0.9951603492	single
Q5HYK7	SH3D19	1.875221542e-05	0	4.030020694e-05	0.9951791014	single
O75348	ATP6V1G1	1.868427029e-05	1.373605452e-05	2.363248605e-05	0.9951977856	single
Q9Y376	CAB39	1.867546431e-05	1.242110892e-05	2.49298197e-05	0.9952164611	single
P41091	EIF2S3	1.850463638e-05	1.383028121e-05	2.317899155e-05	0.9952349657	single
Q9GZZ9	UBA5	1.844044348e-05	9.973835654e-06	2.69070513e-05	0.9952534062	single
Q9NX46	ADPRS	1.842646373e-05	1.178740403e-05	2.506552343e-05	0.9952718326	single
Q92614	MYO18A	1.827641489e-05	7.263447033e-06	2.928938275e-05	0.9952901091	single
P31150	GDI1	1.820236498e-05	8.295025088e-06	2.810970487e-05	0.9953083114	single
Q10567	AP1B1	1.801291822e-05	1.418192978e-05	2.184390666e-05	0.9953263243	summed:2
Q9HAB8	PPCS	1.79792106e-05	1.177601582e-05	2.418240538e-05	0.9953443036	single
